title,location,work_time,payment,regDate
 정자역,경기 성남시,18:00~24:30,"시급8,590",20분전
 KFC 의정부HP,경기 의정부,13:00~23:00,"시급8,590",25분전
 석촌역,서울 송파구,18:00~24:00,"시급8,590",51분전
 아산터미널,충남 아산시,16:00~22:30,"시급8,590",1시간전
 수원인계DT,경기 수원시,18:00~24:00,"시급8,590",2시간전
 KFC 강남역점,서울 서초구,17:00~23:30,"시급8,590",2시간전
 KFC 강남역점,서울 서초구,11:30~17:00,"시급8,590",2시간전
 김포,경기 김포시,18:00~23:30,"시급8,590",2시간전
 황금동,대구 수성구,00:00~24:00,"시급8,590",3시간전
 대전시청역,대전 서구,19:00~02:00,"시급8,590",3시간전
 사가정,서울 중랑구,08:00~03:00,"시급8,590",3시간전
 사가정,서울 중랑구,08:00~03:00,"시급8,590",3시간전
 목포이마트,전남 목포시,16:00~22:30,"시급8,590",4시간전
 안양호계,경기 군포시,09:00~24:00,"시급8,590",5시간전
 분당정자,경기 성남시,09:30~23:00,"시급8,590",08/30
 일산장항,경기 고양시,09:00~24:00,"시급8,590",08/29
 안양호계,경기 군포시,09:00~24:00,"시급8,590",08/29
 KFC 안양일번가,경기 군포시,09:00~24:00,"시급8,590",08/29
 영통씨네마,경기 수원시,10:00~16:00,"시급8,590",08/29
 일산장항,경기 고양시,09:00~24:00,"시급8,590",08/28
 분당정자,경기 성남시,09:30~23:00,"시급8,590",08/28
 KFC 안양일번가,경기 안양시,18:00~01:00,"시급8,590",08/28
 사가정,서울 중랑구,08:00~03:00,"시급8,590",08/28
 KFC 안양일번가,경기 안양시,18:00~01:00,"시급8,590",08/27
 분당정자,경기 성남시,09:30~23:00,"시급8,590",08/27
 학동역,서울 강남구,18:00~02:00,"시급8,590",08/27
 학동역,서울 강남구,23:00~07:00,"시급8,590",08/27
 일산장항,경기 고양시,09:00~24:00,"시급8,590",08/26
 보라매,전국 전체,17:00~24:30,"시급8,590",08/26
 KFC 의정부HP,경기 의정부,17:00~23:00,"시급8,590",08/25
 일산장항,경기 고양시,09:00~00:00,"시급8,590",08/24
 KFC 울산명덕,울산 동구,19:00~23:00,"시급8,590",08/24
 우장산역,서울 강서구,09:00~24:00,"시급8,590",08/24
 우장산역,서울 강서구,09:00~24:00,"시급8,590",08/24
 학동역,서울 강남구,23:00~07:00,"시급8,590",08/24
 KFC 양주고읍,경기 양주시,18:00~23:00,"시급8,590",08/23
 KFC 침산네거리,대구 북구,09:00~24:00,"시급8,590",08/23
 KFC 침산네거리,대구 북구,09:00~24:00,"시급8,590",08/23
 수원인계DT,경기 수원시,18:00~24:00,"시급8,590",08/23
 학동역,서울 강남구,23:00~07:00,"시급8,590",08/23
