title,location,work_time,payment,regDate
 (주)에스엠케이티앤아이,경기 이천시,10:30~21:00,"월급1,895,310",5시간전
 (주)에스엠케이티앤아이 강남점,서울 서초구,10:00~22:00,"월급2,133,360",08/30
 (주)에스엠케이티앤아이 강남점,서울 서초구,10:00~22:00,"월급2,133,360",08/30
 (주)에스엠케이티앤아이 강남점,서울 서초구,10:00~22:00,"월급2,133,360",08/30
 (주)에스엠케이티앤아이,경기 이천시,10:30~21:00,"월급1,895,310",08/28
 shoemaker,전남 순천시,10:00~20:00,"시급8,590",08/25
 슈마커 인천뉴코아점,인천 남동구,14:00~20:00,"시급8,590",08/25
 shoemaker,전남 순천시,14:00~23:00,"시급8,590",08/21
 (주)슈마커 이마트 수지점,경기 용인시,15:00~23:00,"월급1,700,000",08/21
 shoemaker,전남 순천시,14:00~23:00,"시급8,590",08/18
